neighbourhood,avg_price
Manningham,154.1118211
Moreland,105.6514995
Port Phillip,163.2204416
Darebin,126.4584527
Casey,215.8431373
Melbourne,154.1345005
Monash,105.2872154
Frankston,158.6327684
Yarra,144.670571
Bayside,225.4213333
Boroondara,157.0722892
Kingston,135.6860841
Stonnington,165.9389266
Glen Eira,118.5419968
Maroondah,101.9043478
Maribyrnong,108.7133028
Yarra Ranges,245.9740597
Banyule,109.453202
Whitehorse,99.70358306
Melton,103.1157895
Brimbank,79.09259259
Hobsons Bay,137.8661088
Wyndham,105.9530516
Moonee Valley,109.8488372
Whittlesea,87.7080292
Greater Dandenong,99.68027211
Nillumbik,147.5
Knox,106.5028571
Cardinia,167.1219512
Hume,108.5529412